,library,run,r1_file,reads_raw_r1,reads_primers,reads_filtered,reads_merged,reads_tabled,SampleID,Order,Family,Genus,Species,Sample_type,Location.or.lat,DOI,Location,Source,Richness,Shannon,ISimpson,Depth
SRR12962077,SRR12962077,run1,SRR12962077_1.fastq.gz,15893,15893,14336,4961,4961,SRR12962077,Passeriformes,Petroicidae,Peneothello,cyanus,Cloacal swabs,Dengenumbu,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,33,17.87701797,10.99507598,4961
SRR12962078,SRR12962078,run1,SRR12962078_1.fastq.gz,6763,6763,6162,4991,4991,SRR12962078,Passeriformes,Petroicidae,Microeca,papuana,Cloacal swabs,Dengenumbu,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,50,23.8174458,15.25809807,4991
SRR12962079,SRR12962079,run1,SRR12962079_1.fastq.gz,37769,37769,34404,4784,4784,SRR12962079,Passeriformes,Meliphagidae,Myzomela,rosenbergii,Cloacal swabs,Snowpass,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,176,60.5458106,20.19352619,4784
SRR12962080,SRR12962080,run1,SRR12962080_1.fastq.gz,30198,30198,27812,4807,4807,SRR12962080,Passeriformes,Meliphagidae,Melidectes,rufocrissalis,Cloacal swabs,Snowpass,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,180,85.19363142,35.79672137,4807
SRR12962081,SRR12962081,run1,SRR12962081_1.fastq.gz,24036,24036,21895,4818,4818,SRR12962081,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,Snowpass,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,241,139.3227963,85.12267603,4818
SRR12962082,SRR12962082,run1,SRR12962082_1.fastq.gz,47841,47841,44333,4914,4914,SRR12962082,Passeriformes,Acanthizidae,Sericornis,perspicillatus,Cloacal swabs,Snowpass,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,37,2.53081979,1.541707592,4914
SRR12962083,SRR12962083,run1,SRR12962083_1.fastq.gz,34811,34811,32137,4886,4886,SRR12962083,Passeriformes,Rhipiduridae,Rhipidura,albolimbata,Cloacal swabs,Snowpass,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,107,20.64805586,7.282833158,4886
SRR12962664,SRR12962664,run1,SRR12962664_1.fastq.gz,55393,55393,52029,4938,4938,SRR12962664,Passeriformes,Meliphagidae,Melidectes,rufocrissalis,Cloacal swabs,Snowpass,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,22,6.406049124,4.899986898,4938
SRR12962665,SRR12962665,run1,SRR12962665_1.fastq.gz,89227,89227,81298,4953,4953,SRR12962665,Passeriformes,Acanthizidae,Sericornis,nouhuysi,Cloacal swabs,Snowpass,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,147,95.37713495,61.04437698,4953
SRR12962666,SRR12962666,run1,SRR12962666_1.fastq.gz,85824,85824,76088,4882,4882,SRR12962666,Passeriformes,Pachycephalidae,Melanorectes,nigrescens,Cloacal swabs,Snowpass,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,221,158.4054711,111.5266956,4882
SRR12962667,SRR12962667,run1,SRR12962667_1.fastq.gz,42415,42415,38599,4936,4936,SRR12962667,Passeriformes,Pachycephalidae,Colluricincla,megarhyncha,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,152,66.30114214,35.94913669,4936
SRR12962669,SRR12962669,run1,SRR12962669_1.fastq.gz,29476,29476,27647,4975,4975,SRR12962669,Passeriformes,Meliphagidae,Melipotes,fumigatus,Cloacal swabs,Snowpass,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,90,39.56904701,20.08328877,4975
SRR12962670,SRR12962670,run1,SRR12962670_1.fastq.gz,73479,73479,67515,4940,4940,SRR12962670,Passeriformes,Meliphagidae,Melidectes,rufocrissalis,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,124,36.32019831,11.45592747,4940
SRR12962671,SRR12962671,run1,SRR12962671_1.fastq.gz,48159,48159,44460,4914,4914,SRR12962671,Passeriformes,Meliphagidae,Melidectes,rufocrissalis,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,129,44.57824937,10.85514306,4914
SRR12962672,SRR12962672,run1,SRR12962672_1.fastq.gz,26678,26678,16815,4981,4981,SRR12962672,Passeriformes,Meliphagidae,Melipotes,fumigatus,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,73,39.88894625,25.23114073,4981
SRR12962673,SRR12962673,run1,SRR12962673_1.fastq.gz,16569,16569,15354,4958,4958,SRR12962673,Passeriformes,Pachycephalidae,Pachycephala,schlegelii,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,63,28.12559165,16.12033114,4958
SRR12962674,SRR12962674,run1,SRR12962674_1.fastq.gz,15728,15728,14577,4973,4973,SRR12962674,Passeriformes,Pachycephalidae,Pachycephala,schlegelii,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,72,35.90618254,19.05507857,4973
SRR12962675,SRR12962675,run1,SRR12962675_1.fastq.gz,8671,8671,7800,4968,4968,SRR12962675,Passeriformes,Ifritidae,Ifrita,kowaldi,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,71,37.63663054,25.12380596,4968
SRR12962676,SRR12962676,run1,SRR12962676_1.fastq.gz,20534,20534,18363,4981,4981,SRR12962676,Passeriformes,Ifritidae,Ifrita,kowaldi,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,69,39.53664044,27.88304464,4981
SRR12962677,SRR12962677,run1,SRR12962677_1.fastq.gz,24146,24146,22223,4979,4979,SRR12962677,Passeriformes,Pachycephalidae,Paramythia,montium,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,86,50.87889227,33.3929713,4979
SRR12962678,SRR12962678,run1,SRR12962678_1.fastq.gz,36996,36996,31275,4973,4973,SRR12962678,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,88,33.10030395,12.54090583,4973
SRR12962680,SRR12962680,run1,SRR12962680_1.fastq.gz,20708,20708,19055,4988,4988,SRR12962680,Passeriformes,#N/A,BMelipotes,fumigatus,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,76,44.59747112,30.92914185,4988
SRR12962681,SRR12962681,run1,SRR12962681_1.fastq.gz,64672,64672,59594,4955,4955,SRR12962681,Passeriformes,Ifritidae,Ifrita,kowaldi,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,57,6.102596843,3.84606558,4955
SRR12962682,SRR12962682,run1,SRR12962682_1.fastq.gz,57639,57639,53224,4972,4972,SRR12962682,Passeriformes,Meliphagidae,Melidectes,rufocrissalis,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,55,3.138346373,1.536873983,4972
SRR12962683,SRR12962683,run1,SRR12962683_1.fastq.gz,47388,47388,43549,4957,4957,SRR12962683,Passeriformes,Meliphagidae,Melipotes,fumigatus,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,127,79.95294114,51.87535019,4957
SRR12962684,SRR12962684,run1,SRR12962684_1.fastq.gz,64080,64080,58254,4944,4944,SRR12962684,Passeriformes,Meliphagidae,Melipotes,fumigatus,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,109,21.66031557,6.547961954,4944
SRR12962685,SRR12962685,run1,SRR12962685_1.fastq.gz,77604,77604,70464,4931,4931,SRR12962685,Passeriformes,Meliphagidae,Melipotes,fumigatus,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,158,103.4244934,71.6887971,4931
SRR12962686,SRR12962686,run1,SRR12962686_1.fastq.gz,46904,46904,43622,4949,4949,SRR12962686,Passeriformes,Petroicidae,Heteromyias,armiti,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,77,6.823657706,3.162921046,4949
SRR12962687,SRR12962687,run1,SRR12962687_1.fastq.gz,78156,78156,70518,4943,4943,SRR12962687,Passeriformes,Pachycephalidae,Melanorectes,nigrescens,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,136,41.57858706,9.007652722,4943
SRR12962688,SRR12962688,run1,SRR12962688_1.fastq.gz,74715,74715,69342,4993,4993,SRR12962688,Passeriformes,Estrildidae,Erythrura,trichroa,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,32,9.096768325,6.569638159,4993
SRR12962689,SRR12962689,run1,SRR12962689_1.fastq.gz,63275,63275,58008,4852,4852,SRR12962689,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,218,115.3397271,53.83763115,4852
SRR12962691,SRR12962691,run1,SRR12962691_1.fastq.gz,11713,11713,10650,4982,4982,SRR12962691,Passeriformes,Meliphagidae,Meliphaga,analoga,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,84,42.42535778,22.56614649,4982
SRR12962692,SRR12962692,run1,SRR12962692_1.fastq.gz,13357,13357,12213,4992,4992,SRR12962692,Passeriformes,Meliphagidae,Meliphaga,analoga,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,87,41.94934706,22.16791709,4992
SRR12962693,SRR12962693,run1,SRR12962693_1.fastq.gz,39285,39285,36167,4968,4968,SRR12962693,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,109,38.49278796,13.39382954,4968
SRR12962694,SRR12962694,run1,SRR12962694_1.fastq.gz,31480,31480,28930,4965,4965,SRR12962694,Passeriformes,Acanthizidae,Sericornis,nouhuysi,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,151,100.8230474,76.64157156,4965
SRR12962695,SRR12962695,run1,SRR12962695_1.fastq.gz,10854,10854,9693,4982,4982,SRR12962695,Passeriformes,Pachycephalidae,Pachycephala,schlegelii,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,39,20.64716182,12.46539617,4982
SRR12962696,SRR12962696,run1,SRR12962696_1.fastq.gz,34442,34442,26786,4993,4993,SRR12962696,Passeriformes,#N/A,Paramythia,montium,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,61,32.96676394,20.25965217,4993
SRR12962697,SRR12962697,run1,SRR12962697_1.fastq.gz,9611,9611,8889,4961,4961,SRR12962697,Passeriformes,#N/A,Paramythia,montium,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,82,36.73230924,20.64522274,4961
SRR12962698,SRR12962698,run1,SRR12962698_1.fastq.gz,18727,18727,17630,4996,4996,SRR12962698,Passeriformes,Petroicidae,Heteromyias,armiti,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,67,32.57078559,18.63644618,4996
SRR12962699,SRR12962699,run1,SRR12962699_1.fastq.gz,73900,73900,67614,4847,4847,SRR12962699,Passeriformes,Petroicidae,Heteromyias,armiti,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,261,191.0394188,142.0992373,4847
SRR12962700,SRR12962700,run1,SRR12962700_1.fastq.gz,72279,72279,67477,4949,4949,SRR12962700,Passeriformes,Petroicidae,Heteromyias,armiti,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,92,17.58847463,5.460198842,4949
SRR12962701,SRR12962701,run1,SRR12962701_1.fastq.gz,40321,40321,35408,4976,4976,SRR12962701,Passeriformes,Pachycephalidae,Pachycephala,schlegelii,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,114,58.55543697,37.27116399,4976
SRR12962702,SRR12962702,run1,SRR12962702_1.fastq.gz,54971,54971,51175,4978,4978,SRR12962702,Passeriformes,Petroicidae,Microeca,papuana,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,117,37.48623166,10.53000142,4978
SRR12962704,SRR12962704,run1,SRR12962704_1.fastq.gz,17219,17219,15727,4986,4986,SRR12962704,Passeriformes,Meliphagidae,Meliphaga,analoga,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,89,39.14167509,14.9807325,4986
SRR12962705,SRR12962705,run1,SRR12962705_1.fastq.gz,51579,51579,48719,4984,4984,SRR12962705,Passeriformes,Meliphagidae,Ptiloprora,guisei,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,19,1.6222709,1.217905816,4984
SRR12962706,SRR12962706,run1,SRR12962706_1.fastq.gz,69783,69783,65591,4978,4978,SRR12962706,Passeriformes,Rhipiduridae,Rhipidura,atra,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,39,3.387064388,1.78441286,4978
SRR12962707,SRR12962707,run1,SRR12962707_1.fastq.gz,24350,24350,22587,4991,4991,SRR12962707,Passeriformes,Rhipiduridae,Rhipidura,atra,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,96,51.11899699,28.00694943,4991
SRR12962709,SRR12962709,run1,SRR12962709_1.fastq.gz,7658,7658,7086,4984,4984,SRR12962709,Passeriformes,Rhipiduridae,Rhipidura,albolimbata,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,53,22.38976881,13.76189943,4984
SRR12962710,SRR12962710,run1,SRR12962710_1.fastq.gz,38025,38025,26363,4960,4960,SRR12962710,Passeriformes,Melanocharitidae,Melanocharis,versteri,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,88,41.43059031,22.29540763,4960
SRR12962711,SRR12962711,run1,SRR12962711_1.fastq.gz,44560,44560,40385,4941,4941,SRR12962711,Passeriformes,Meliphagidae,Ptiloprora,guisei,Cloacal swabs,BrunoSawmill,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,177,115.8424844,64.61481721,4941
SRR12962712,SRR12962712,run1,SRR12962712_1.fastq.gz,81829,81829,76485,4985,4985,SRR12962712,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,96,25.71964826,9.034129432,4985
SRR12962714,SRR12962714,run1,SRR12962714_1.fastq.gz,88768,88768,74698,4959,4959,SRR12962714,Passeriformes,Oriolidae,Pitohui,kirhocephalus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,38,2.180126877,1.328529973,4959
SRR12962715,SRR12962715,run1,SRR12962715_1.fastq.gz,21220,21220,19639,4991,4991,SRR12962715,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,70,19.68869617,8.374231454,4991
SRR12962716,SRR12962716,run1,SRR12962716_1.fastq.gz,63651,63651,56951,4884,4884,SRR12962716,Passeriformes,Oriolidae,Pitohui,kirhocephalus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,78,16.81916487,5.158304792,4884
SRR12962717,SRR12962717,run1,SRR12962717_1.fastq.gz,80060,80060,71643,4967,4967,SRR12962717,Passeriformes,Oriolidae,Pitohui,kirhocephalus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,29,2.819958343,1.669282957,4967
SRR12962718,SRR12962718,run1,SRR12962718_1.fastq.gz,74037,74037,65825,4877,4877,SRR12962718,Passeriformes,Sturnidae,Aplonis,metallica,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,158,54.25690801,22.59013353,4877
SRR12962720,SRR12962720,run1,SRR12962720_1.fastq.gz,29736,29736,27594,4986,4986,SRR12962720,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,19,5.46812748,3.317749553,4986
SRR12962721,SRR12962721,run1,SRR12962721_1.fastq.gz,30041,30041,27858,4985,4985,SRR12962721,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,86,49.65273554,31.73472437,4985
SRR12962722,SRR12962722,run1,SRR12962722_1.fastq.gz,32669,32669,30570,4939,4939,SRR12962722,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,91,16.68004326,8.501464963,4939
SRR12962724,SRR12962724,run1,SRR12962724_1.fastq.gz,17424,17424,15990,4998,4998,SRR12962724,Passeriformes,#N/A,Meliphaaruensis,,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,49,24.30632145,14.78838289,4998
SRR12962725,SRR12962725,run1,SRR12962725_1.fastq.gz,95728,95728,85984,4955,4955,SRR12962725,Passeriformes,Sturnidae,Aplonis,metallica,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,69,9.098355055,3.504286795,4955
SRR12962726,SRR12962726,run1,SRR12962726_1.fastq.gz,11834,11834,9597,4987,4987,SRR12962726,Passeriformes,Monarchidae,Arses,insularis,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,64,26.23172523,11.73374119,4987
SRR12962727,SRR12962727,run1,SRR12962727_1.fastq.gz,29428,29428,26124,4987,4987,SRR12962727,Passeriformes,Sturnidae,Aplonis,metallica,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,72,44.08438858,30.75505687,4987
SRR12962728,SRR12962728,run1,SRR12962728_1.fastq.gz,94345,94345,84621,4975,4975,SRR12962728,Passeriformes,Sturnidae,Aplonis,metallica,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,14,2.339066609,1.741484829,4975
SRR12962729,SRR12962729,run1,SRR12962729_1.fastq.gz,58489,58489,53448,4994,4994,SRR12962729,Passeriformes,Sturnidae,Aplonis,metallica,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,78,35.01810492,17.01631899,4994
SRR12962730,SRR12962730,run1,SRR12962730_1.fastq.gz,60222,60222,53766,4923,4923,SRR12962730,Passeriformes,Sturnidae,Aplonis,metallica,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,67,7.633826649,3.796468378,4923
SRR12962731,SRR12962731,run1,SRR12962731_1.fastq.gz,33654,33654,30798,4973,4973,SRR12962731,Passeriformes,Sturnidae,Aplonis,metallica,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,45,4.439782981,1.882102931,4973
SRR12962732,SRR12962732,run1,SRR12962732_1.fastq.gz,17921,17921,16739,4995,4995,SRR12962732,Passeriformes,Meliphagidae,Meliphaga,analoga,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,66,28.71849541,14.44155517,4995
SRR12962733,SRR12962733,run1,SRR12962733_1.fastq.gz,57057,57057,52770,4965,4965,SRR12962733,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,110,48.56176475,20.71293053,4965
SRR12962734,SRR12962734,run1,SRR12962734_1.fastq.gz,22693,22693,20611,4974,4974,SRR12962734,Passeriformes,#N/A,Symposiachrus,guttula,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,53,23.23740455,11.72759541,4974
SRR12962735,SRR12962735,run1,SRR12962735_1.fastq.gz,50230,50230,42146,4972,4972,SRR12962735,Passeriformes,Meliphagidae,Meliphaga,analoga,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,91,35.95843418,14.40255975,4972
SRR12962736,SRR12962736,run1,SRR12962736_1.fastq.gz,40937,40937,36062,4948,4948,SRR12962736,Passeriformes,Pachycephalidae,Colluricincla,megarhyncha,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,87,53.54348404,33.57769195,4948
SRR12962737,SRR12962737,run1,SRR12962737_1.fastq.gz,14918,14918,12868,4982,4982,SRR12962737,Passeriformes,#N/A,Symposiachrus,guttula,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,80,39.88786763,19.8738754,4982
SRR12962738,SRR12962738,run1,SRR12962738_1.fastq.gz,14014,14014,12881,4983,4983,SRR12962738,Passeriformes,Meliphagidae,Meliphaga,analoga,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,77,34.59752833,15.71003336,4983
SRR12962740,SRR12962740,run1,SRR12962740_1.fastq.gz,11190,11190,10025,4980,4980,SRR12962740,Passeriformes,#N/A,Symposiachrus,guttula,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,54,20.53775105,11.28626793,4980
SRR12962741,SRR12962741,run1,SRR12962741_1.fastq.gz,29672,29672,27066,4991,4991,SRR12962741,Passeriformes,Meliphagidae,Meliphaga,aruensis,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,71,39.73407387,22.83328002,4991
SRR12962742,SRR12962742,run1,SRR12962742_1.fastq.gz,57475,57475,50586,4973,4973,SRR12962742,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,109,34.32471764,13.09839662,4973
SRR12962743,SRR12962743,run1,SRR12962743_1.fastq.gz,44507,44507,40934,4992,4992,SRR12962743,Passeriformes,Monarchidae,Arses,insularis,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,67,28.14692535,13.84269583,4992
SRR12962745,SRR12962745,run1,SRR12962745_1.fastq.gz,39845,39845,33524,4890,4890,SRR12962745,Passeriformes,Oriolidae,Pitohui,dichrous,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,133,54.11482499,20.36535179,4890
SRR12962746,SRR12962746,run1,SRR12962746_1.fastq.gz,21254,21254,19919,4927,4927,SRR12962746,Passeriformes,Pachycephalidae,Colluricincla,megarhyncha,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,85,45.51955945,28.16075251,4927
SRR12962747,SRR12962747,run1,SRR12962747_1.fastq.gz,53985,53985,43850,4910,4910,SRR12962747,Passeriformes,#N/A,Meliphaaruensis,,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,55,5.147247078,2.275620398,4910
SRR12962748,SRR12962748,run1,SRR12962748_1.fastq.gz,24882,24882,23103,4990,4990,SRR12962748,Passeriformes,Melanocharitidae,Toxorhamphus,novaeguineae,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,44,4.865065092,2.139683844,4990
SRR12962749,SRR12962749,run1,SRR12962749_1.fastq.gz,23671,23671,21543,4969,4969,SRR12962749,Passeriformes,#N/A,Meliphaanaloga,,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,79,43.77598349,24.82728764,4969
SRR12962750,SRR12962750,run1,SRR12962750_1.fastq.gz,66321,66321,57892,4948,4948,SRR12962750,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,17,2.777578941,2.045142196,4948
SRR12962752,SRR12962752,run1,SRR12962752_1.fastq.gz,84075,84075,75667,4911,4911,SRR12962752,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,117,20.7542857,6.663489632,4911
SRR12962753,SRR12962753,run1,SRR12962753_1.fastq.gz,26963,26963,24683,4964,4964,SRR12962753,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,106,71.80181719,55.08330465,4964
SRR12962754,SRR12962754,run1,SRR12962754_1.fastq.gz,9026,9026,8321,4988,4988,SRR12962754,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,75,29.095282,13.80248798,4988
SRR12962755,SRR12962755,run1,SRR12962755_1.fastq.gz,58964,58964,53856,4981,4981,SRR12962755,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,"5.250000000000, 145.267000000000",10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,72,6.265260496,2.185440999,4981
SRR12962762,SRR12962762,run1,SRR12962762_1.fastq.gz,10944,10944,10139,4985,4985,SRR12962762,Passeriformes,#N/A,Lorius,lory,Regurgitated sample,Baitebag,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,34,8.780787953,5.258230749,4985
SRR12962763,SRR12962763,run1,SRR12962763_1.fastq.gz,43172,43172,41143,4990,4990,SRR12962763,Passeriformes,#N/A,Ceyx,solitarius,Regurgitated sample,Baitebag,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,25,2.035523245,1.342400303,4990
SRR12962765,SRR12962765,run1,SRR12962765_1.fastq.gz,49905,49905,46466,4992,4992,SRR12962765,Passeriformes,#N/A,Ptilinopus,magnificus,Regurgitated sample,Baitebag,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,49,20.56302123,14.46896033,4992
SRR12962766,SRR12962766,run1,SRR12962766_1.fastq.gz,27815,27815,25544,4985,4985,SRR12962766,Passeriformes,Sturnidae,Aplonis,cantoroides,Regurgitated sample,Baitebag,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,31,6.297626013,3.894142495,4985
